INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
000905.SH	600763.SH	20260513	447289117	70	313102382	1	0.1163	41.14
000905.SH	600754.SH	20260513	910298444	50	455149222	1	0.0932	22.69
000905.SH	600739.SH	20260513	1529709816	60	917825890	1	0.0985	11.89
000905.SH	600737.SH	20260513	2138848228	50	1069424114	1	0.1444	14.96
000905.SH	600720.SH	20260513	2294595565	40	917838226	1	0.055	6.64
000905.SH	600707.SH	20260513	3588389732	40	1435355893	1	0.1231	9.5
000905.SH	600704.SH	20260513	5171179890	60	3102707934	1	0.144	5.14
000905.SH	600699.SH	20260513	1395670563	70	976969394	1	0.2499	28.34
000905.SH	600688.SH	20260513	7328813500	30	2198644050	1	0.0605	3.05
000905.SH	600685.SH	20260513	821435181	50	410717591	1	0.1167	31.47
000905.SH	600673.SH	20260513	3009555059	50	1504777530	1	0.5087	37.45
000905.SH	600663.SH	20260513	3934417679	30	1180325304	1	0.0939	8.81
000905.SH	600655.SH	20260513	3892458273	50	1946229137	1	0.0852	4.85
000905.SH	600642.SH	20260513	4894079376	40	1957631750	1	0.1709	9.67
000905.SH	600637.SH	20260513	3361899817	60	2017139890	1	0.1868	10.26
000905.SH	600606.SH	20260513	14054218314	30	4216265494	1	0.0617	1.62
000905.SH	600602.SH	20260513	1074302990	60	644581794	1	0.1312	22.55
000905.SH	600601.SH	20260513	4273742887	70	2991620021	1	0.3864	14.31
000905.SH	600598.SH	20260513	1777679909	40	711071964	1	0.1076	16.76
000905.SH	600583.SH	20260513	4421354800	50	2210677400	1	0.1277	6.4
000905.SH	600582.SH	20260513	4138588892	40	1655435557	1	0.084	5.62
000905.SH	600580.SH	20260513	1562117511	70	1093482258	1	0.3996	40.48
000905.SH	600578.SH	20260513	6694621015	30	2008386305	1	0.0954	5.26
000905.SH	600566.SH	20260513	921215260	40	368486104	1	0.0955	28.72
000905.SH	600563.SH	20260513	225000000	60	135000000	1	0.1536	126.03
000905.SH	601865.SH	20260513	1901165162	40	760466065	1	0.0936	13.63
000905.SH	601866.SH	20260513	9751983820	40	3900793528	1	0.094	2.67
000905.SH	601880.SH	20260513	18413051214	40	7365220486	1	0.1097	1.65
000905.SH	688220.SH	20260513	418300889	60	250980533	1	0.2438	107.61
000905.SH	688347.SH	20260513	407750000	100	407750000	1	0.5913	160.66
000905.SH	688336.SH	20260513	616785793	20	123357159	1	0.0805	72.25
000905.SH	688322.SH	20260513	401144240	50	200572120	1	0.1576	87.03
000905.SH	688318.SH	20260513	256119472	30	76835842	1	0.0845	121.8
000905.SH	688301.SH	20260513	211411684	60	126847010	1	0.1307	114.18
000905.SH	688297.SH	20260513	675000000	40	270000000	1	0.115	47.19
000905.SH	688295.SH	20260513	900000000	20	180000000	1	0.0975	60.02
000905.SH	688281.SH	20260513	272570675	50	136285338	1	0.0961	78.08
000905.SH	688278.SH	20260513	408189480	40	163275792	1	0.0869	58.95
000905.SH	688266.SH	20260513	264708186	70	185295730	1	0.1867	111.63
000905.SH	688248.SH	20260513	564700000	30	169410000	1	0.0988	64.6
000905.SH	688235.SH	20260513	115055260	100	115055260	1	0.2783	267.98
000905.SH	688234.SH	20260513	429711044	50	214855522	1	0.2521	130.01
000905.SH	688213.SH	20260513	401841572	70	281289100	1	0.2526	99.5
000905.SH	601918.SH	20260513	2590541800	60	1554325080	1	0.1229	8.76
000905.SH	688192.SH	20260513	461187894	30	138356368	1	0.0714	57.2
000905.SH	688188.SH	20260513	288729927	40	115491971	1	0.1702	163.23
