code	kline_time	open	high	low	close	volume	amount
301013.SZ	2026-04-10 13:54:00	22.65	22.66	22.65	22.65	16000	362409
301013.SZ	2026-04-10 13:55:00	22.66	22.7	22.66	22.7	25200	571585
301013.SZ	2026-04-10 13:56:00	22.7	22.7	22.68	22.7	8800	199749
301013.SZ	2026-04-10 13:57:00	22.7	22.7	22.67	22.68	17300	392239
301013.SZ	2026-04-10 13:58:00	22.67	22.69	22.67	22.68	15100	342464
301013.SZ	2026-04-10 13:59:00	22.67	22.69	22.67	22.68	10100	229088
301013.SZ	2026-04-10 14:00:00	22.68	22.7	22.68	22.7	4300	97563
301013.SZ	2026-04-10 14:01:00	22.7	22.72	22.68	22.68	23000	522047
301013.SZ	2026-04-10 14:02:00	22.68	22.7	22.68	22.68	13400	303982
301013.SZ	2026-04-10 14:03:00	22.68	22.71	22.68	22.71	15900	360736
301013.SZ	2026-04-10 14:04:00	22.71	22.71	22.68	22.68	17400	394781
301013.SZ	2026-04-10 14:05:00	22.68	22.68	22.66	22.68	15600	353705
301013.SZ	2026-04-10 14:06:00	22.68	22.71	22.67	22.7	24200	549123
301013.SZ	2026-04-10 14:07:00	22.71	22.71	22.71	22.71	2800	63578
301013.SZ	2026-04-10 14:08:00	22.71	22.71	22.69	22.69	5400	122557
301013.SZ	2026-04-10 14:09:00	22.69	22.71	22.69	22.7	21300	483540
301013.SZ	2026-04-10 14:10:00	22.7	22.71	22.69	22.7	9700	220173
301013.SZ	2026-04-10 14:11:00	22.7	22.7	22.68	22.68	11600	263239
301013.SZ	2026-04-10 14:12:00	22.69	22.69	22.66	22.67	11200	253866
301013.SZ	2026-04-10 14:13:00	22.67	22.68	22.67	22.67	3900	88415
301013.SZ	2026-04-10 14:14:00	22.66	22.68	22.66	22.68	8500	192739
301013.SZ	2026-04-10 14:15:00	22.68	22.68	22.65	22.67	14400	326391
301013.SZ	2026-04-10 14:16:00	22.67	22.67	22.67	22.67	900	20404
301013.SZ	2026-04-10 14:17:00	22.67	22.67	22.64	22.64	32100	726533
301013.SZ	2026-04-10 14:18:00	22.63	22.63	22.6	22.62	42300	956206
301013.SZ	2026-04-10 14:19:00	22.62	22.64	22.62	22.64	14200	321341
301013.SZ	2026-04-10 14:20:00	22.63	22.64	22.62	22.63	14700	332634
301013.SZ	2026-04-10 14:21:00	22.63	22.63	22.62	22.63	6500	147082
301013.SZ	2026-04-10 14:22:00	22.63	22.65	22.63	22.65	16100	364499
301013.SZ	2026-04-10 14:23:00	22.65	22.65	22.64	22.64	5900	133631
301013.SZ	2026-04-10 14:24:00	22.65	22.66	22.65	22.65	11800	267377
301013.SZ	2026-04-10 14:25:00	22.65	22.67	22.64	22.64	7900	178928
301013.SZ	2026-04-10 14:26:00	22.64	22.65	22.64	22.65	19100	432610
301013.SZ	2026-04-10 14:27:00	22.65	22.65	22.64	22.64	4800	108679
301013.SZ	2026-04-10 14:28:00	22.63	22.63	22.63	22.63	29900	676686
301013.SZ	2026-04-10 14:29:00	22.63	22.63	22.61	22.62	11300	255590
301013.SZ	2026-04-10 14:30:00	22.62	22.63	22.62	22.63	3200	72390
301013.SZ	2026-04-10 14:31:00	22.63	22.63	22.61	22.63	21800	493128
301013.SZ	2026-04-10 14:32:00	22.63	22.63	22.61	22.63	15800	357308
301013.SZ	2026-04-10 14:33:00	22.63	22.63	22.6	22.6	25300	571909
301013.SZ	2026-04-10 14:34:00	22.61	22.61	22.6	22.6	21600	488196
301013.SZ	2026-04-10 14:35:00	22.61	22.61	22.6	22.61	10500	237396
301013.SZ	2026-04-10 14:36:00	22.61	22.62	22.58	22.6	84300	1905242
301013.SZ	2026-04-10 14:37:00	22.6	22.6	22.59	22.59	9900	223670
301013.SZ	2026-04-10 14:38:00	22.59	22.59	22.58	22.58	18700	422297
301013.SZ	2026-04-10 14:39:00	22.58	22.58	22.57	22.57	25400	573350
301013.SZ	2026-04-10 14:40:00	22.57	22.59	22.57	22.58	26700	602857
301013.SZ	2026-04-10 14:41:00	22.59	22.6	22.59	22.59	14100	318550
301013.SZ	2026-04-10 14:42:00	22.59	22.59	22.58	22.58	14100	318408
301013.SZ	2026-04-10 14:43:00	22.57	22.58	22.57	22.57	19800	446931
301013.SZ	2026-04-10 14:44:00	22.56	22.56	22.55	22.56	112300	2532742
301013.SZ	2026-04-10 14:45:00	22.56	22.57	22.55	22.57	22600	509864
301013.SZ	2026-04-10 14:46:00	22.56	22.57	22.55	22.55	64700	1459317
301013.SZ	2026-04-10 14:47:00	22.55	22.56	22.54	22.56	99500	2243736
301013.SZ	2026-04-10 14:48:00	22.56	22.56	22.55	22.56	12900	290928
301013.SZ	2026-04-10 14:49:00	22.55	22.56	22.54	22.54	70300	1585272
301013.SZ	2026-04-10 14:50:00	22.54	22.54	22.52	22.53	44500	1002731
301013.SZ	2026-04-10 14:51:00	22.53	22.54	22.52	22.53	14800	333370
301013.SZ	2026-04-10 14:52:00	22.53	22.53	22.52	22.52	20700	466340
301013.SZ	2026-04-10 14:53:00	22.53	22.53	22.52	22.52	17500	394226
301013.SZ	2026-04-10 14:54:00	22.53	22.53	22.5	22.51	59700	1344226
301013.SZ	2026-04-10 14:55:00	22.51	22.51	22.49	22.5	92600	2083545
301013.SZ	2026-04-10 14:56:00	22.49	22.52	22.49	22.5	51700	1163413
301013.SZ	2026-04-10 14:57:00	22.5	22.5	22.5	22.5	0	0
301013.SZ	2026-04-10 14:58:00	22.5	22.5	22.5	22.5	0	0
301013.SZ	2026-04-10 14:59:00	22.5	22.5	22.5	22.5	56700	1275750
