	INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
135	000300.SH	600111.SH	20260512	3615065842		2530546089	1	0.5099	54.44
134	000300.SH	600104.SH	20260512	11495277504		4598111002	1	0.2281	13.4
133	000300.SH	600089.SH	20260512	5052792571		5052792571	1	0.5413	28.94
113	000300.SH	600011.SH	20260512	10997709919		4399083968	1	0.1244	7.64
112	000300.SH	600010.SH	20260512	45288619348		22644309674	1	0.2322	2.77
111	000300.SH	600009.SH	20260512	2488313040		1244156520	1	0.1244	27.01
110	000300.SH	600000.SH	20260512	33305838300		13322335320	1	0.4453	9.03
91	000300.SH	300442.SZ	20260512	1634343573		817171787	1	0.2764	91.38
90	000300.SH	300433.SZ	20260512	4982732391		1993092956	1	0.2249	30.48
89	000300.SH	300418.SZ	20260512	1255356953		878749867	1	0.1712	52.63
88	000300.SH	300413.SZ	20260512	1870720815		748288326	1	0.0551	19.91
87	000300.SH	300408.SZ	20260512	1916497371		1341548160	1	0.438	88.21
86	000300.SH	300394.SZ	20260512	777415891		466449535	1	0.5913	342.45
85	000300.SH	300347.SZ	20260512	737901250		516530875	1	0.0985	51.53
84	000300.SH	300316.SZ	20260512	1309533797		654766899	1	0.1161	47.89
83	000300.SH	300308.SZ	20260512	1111118334		1111118334	1	4.1869	1017.99
82	000300.SH	300274.SZ	20260512	2073211424		1451247997	1	0.7513	139.85
81	000300.SH	300251.SZ	20260512	2933588432		1466794216	1	0.0786	14.48
80	000300.SH	300124.SZ	20260512	2699696667		1889787667	1	0.5278	75.45
79	000300.SH	300122.SZ	20260512	2393789747		1196894874	1	0.07	15.8
78	000300.SH	300059.SZ	20260512	15804037675		12643230140	1	0.9954	21.27
77	000300.SH	300033.SZ	20260512	752640000		301056000	1	0.2807	251.92
92	000300.SH	300476.SZ	20260512	870349313		609244519	1	0.8467	375.43
93	000300.SH	300498.SZ	20260512	6653927141		5323141713	1	0.3034	15.4
94	000300.SH	300502.SZ	20260512	993972352		993972352	1	2.1801	592.52
103	000300.SH	300866.SZ	20260512	536157605		214463042	1	0.1003	126.3
109	000300.SH	302132.SZ	20260512	2672091376		293930051	1	0.0806	74.1
108	000300.SH	301269.SZ	20260512	545437608		218175043	1	0.0774	95.8
107	000300.SH	301236.SZ	20260512	1035189280		621113568	1	0.0952	41.42
106	000300.SH	300999.SZ	20260512	5421591536		596375069	1	0.0625	28.33
105	000300.SH	300979.SZ	20260512	1167000000		175050000	1	0.0248	38.29
104	000300.SH	300896.SZ	20260512	302592061		151296031	1	0.0646	115.3
102	000300.SH	300832.SZ	20260512	785718785		392859393	1	0.0721	49.56
95	000300.SH	300628.SZ	20260512	1266730887		506692355	1	0.0725	38.63
101	000300.SH	300803.SZ	20260512	598256675		358954005	1	0.1423	107.06
100	000300.SH	300782.SZ	20260512	574986986		344992192	1	0.1403	109.9
99	000300.SH	300760.SZ	20260512	1212441394		606220697	1	0.3734	166.39
98	000300.SH	300759.SZ	20260512	1476658400		1033660880	1	0.105	27.43
97	000300.SH	300750.SZ	20260512	4407658830		2644595298	1	4.2216	431.25
96	000300.SH	300661.SZ	20260512	617900439		432530307	1	0.1655	103.38
299	000300.SH	688981.SH	20260512	1999562549		1999562549	1	0.9028	121.98
